Stock,VaR@90%,VaR@95%,VaR@99%
Electronic Arts,-5724.1011980737985,-7268.060781106526,-9767.954267183284
Elevance Health,-3568.0975216717306,-4754.26372027657,-6604.534125175226
Emerson Electric,-3377.3829369026753,-4359.784020644032,-6420.529628812351
Enphase,-20201.30167541739,-22440.69455623141,-25848.552167963433
Entergy,-2562.214152382911,-3416.103016835616,-4815.836953930194
EOG Resources,-5978.597125730992,-7407.252517542815,-9909.624480618704
EPAM Systems,-6876.827768123505,-8661.57912836099,-11467.313371147668
EQT Corporation,-8772.907183065796,-10866.067266703969,-13953.020578447991
Equifax,-4091.144838990947,-5363.991917708398,-7436.281673861748
Equinix,-4221.480922853787,-5407.39475277255,-7411.363237572399
Equity Residential,-3532.5785574804218,-4572.184453267749,-6515.914765468764
Essex Property Trust,-3169.9097410544223,-4322.508737100638,-6143.914395123035
Estée Lauder Companies (The),-4727.558241208587,-6102.9171652645855,-8480.793277545574
Etsy,-13481.46986848141,-15761.914522820753,-19739.305877009294
Everest Re,-2606.54820734627,-3602.3080820460846,-5181.48493762078
Evergy,-2271.390633432673,-2994.6963428860554,-4407.322979994357
Eversource,-2241.7934690763414,-3015.6567503425877,-4464.904527163657
Exelon,-2998.2240278750655,-3888.9380175114507,-5478.795692578465
Expedia Group,-6997.475529195711,-8803.903720009783,-11409.954615633353
Expeditors International,-3030.680794736916,-4026.6424246001325,-5864.821293443234
Extra Space Storage,-3890.9934418443636,-5017.183146556749,-7095.073224368079
ExxonMobil,-4357.131059886302,-5613.29650616085,-7495.993023227191
"F5, Inc.",-6014.596453634783,-7550.298143874342,-9924.29560589694
FactSet,-3248.266334232388,-4198.995932185369,-5943.393297799507
Fair Isaac,-4736.330256102155,-6149.258810347107,-8532.526590703983
Fastenal,-3355.3729951007435,-4488.4137592031875,-6295.308451624057
Federal Realty,-3155.159342446042,-4145.597239044772,-6048.798677549984
FedEx,-6173.041499397003,-7776.553036060992,-10579.127847042275
Fidelity National Information Services,-3799.21010072836,-5013.0738024811,-7095.208329695782
Fifth Third Bank,-5768.416905045398,-7269.142916330823,-9954.345710257627
First Solar,-11089.007732338614,-13376.248348128884,-17384.252969976464
FirstEnergy,-2855.317634808417,-3769.2516931369373,-5495.366082427508
Fiserv,-2532.308786744692,-3391.203714436036,-4860.279441035171
FMC Corporation,-4990.753296638089,-6342.829615984358,-8989.381297442433
Ford Motor Company,-6352.023028533492,-7814.819904835533,-10374.606192735124
Fortinet,-7587.484167276805,-9564.720055897546,-12545.007845880518
Fortive,-3223.7442731193137,-4251.154562492934,-6189.082334997288
Fox Corporation (Class A),-4062.925917271818,-5252.694249215542,-7332.460188185129
Fox Corporation (Class B),-3771.0361470259886,-4827.371899768557,-6964.47118193182
Franklin Templeton,-4028.963633401403,-5207.9535734471265,-7229.255729392162
Freeport-McMoRan,-10332.41459414733,-12587.496080980854,-16324.117298592284
Garmin,-4497.493894442695,-5718.062555467541,-8213.629137858617
Gartner,-4439.409830269116,-5662.486462311472,-8228.345947973965
GE Aerospace,-7385.630074236287,-9115.108480455638,-12065.36574680728
GE HealthCare,-4840.929356423728,-6143.515438991236,-8525.590881371338
GE Vernova,,,
Gen Digital,-4369.284651395218,-5694.227957224382,-7664.669947927357
Generac,-8563.171706288209,-10592.394862493746,-13899.514468658645
General Dynamics,-3368.3024791786356,-4367.895638289395,-6046.392618586468
General Mills,-2377.9808842673474,-3131.823173277325,-4631.036590767018
General Motors,-6300.100044171532,-8068.448615099553,-10681.811457203454
Genuine Parts Company,-3068.4362634376557,-4019.347170481825,-5762.987169312839
Gilead Sciences,-4810.101634218281,-6038.254521765768,-8352.670380769223
Global Payments,-4175.351720126189,-5462.356778336527,-7778.925625510758
Globe Life,-3115.7657020559654,-4034.0839030575153,-5740.970101711673
GoDaddy,-4712.801597673053,-6089.552342500456,-8319.588439975392
Goldman Sachs,-5400.158342143269,-6642.5442444981845,-9028.83727090751
Halliburton,-7441.790337515849,-9277.671201181827,-12271.203733172022
Hartford (The),-4823.941454662895,-6184.158286431263,-8484.731779541493
Hasbro,-4408.338267306035,-5681.631458824947,-7927.166378111866
HCA Healthcare,-5170.387887487938,-6615.901571046247,-8911.872095915991
Healthpeak,-3363.5927414768835,-4571.357341713115,-6242.839801755188
Henry Schein,-2770.460329504472,-3719.3112275334083,-5207.224959320182
Hershey's,-2856.1447830414163,-3799.0273689640626,-5630.606064205635
Hess Corporation,-6401.151236773737,-8143.812810665555,-10891.459236925324
Hewlett Packard Enterprise,-5381.882538966038,-6877.695474377524,-9324.40932772885
Hilton Worldwide,-4316.108036330673,-5601.562745519236,-7750.676511790024
Hologic,-4072.2760617501517,-5315.9425983714755,-7477.042949408474
Home Depot (The),-3244.9795598353344,-4282.968224940932,-6057.164159567694
Honeywell,-3164.4766142413623,-4182.5404174302785,-5906.092672325135
Hormel Foods,-2969.978072531862,-4020.5701685813287,-5751.919493931543
Host Hotels & Resorts,-4144.955209887951,-5455.939523852004,-7730.010422863151
Howmet Aerospace,-7789.447542981234,-9436.503660732631,-12494.139306340001
HP Inc.,-5951.374921523371,-7670.771255558829,-10275.568208343397
Hubbell Incorporated,-3771.7655144181945,-4872.348790713548,-6738.378152957402
Humana,-4000.484600397747,-5108.650093158077,-7215.433939564994
Huntington Bancshares,-4840.563693691179,-6251.222807521867,-8418.697734360876
Huntington Ingalls Industries,-4786.2206826878255,-6212.759066529464,-8468.109510016371
IBM,-2725.5585963640465,-3605.6940241857615,-5321.170472143912
IDEX Corporation,-3213.5549053863565,-4221.778426116081,-6095.807808255579
Idexx Laboratories,-5076.987503176153,-6633.33518966354,-8913.916406816634
Illinois Tool Works,-2856.369662560728,-3809.1316212146735,-5377.4241029783825
Incyte,-8176.821176394172,-10106.81838781207,-13689.199395297444
Ingersoll Rand,-5717.5544143776915,-7314.414027393053,-10193.006904795106
Insulet Corporation,-6499.08680923395,-8202.53042609476,-10963.898583536675
Intel,-4447.172744412379,-5798.258838310631,-8410.64388057816
Intercontinental Exchange,-2462.386354642201,-3409.845256294766,-5023.640632818088
International Flavors & Fragrances,-3384.672318291374,-4490.621167898007,-6368.432822275653
International Paper,-4367.769775107163,-5660.27880054835,-7690.655747201735
Interpublic Group of Companies (The),-4768.932195904749,-6143.956343984271,-8623.579996409802
Intuit,-3649.867703584388,-4911.957110303336,-6737.985164878223
Intuitive Surgical,-4930.009853674903,-6399.393321115816,-8431.742743918086
Invesco,-7478.076073578213,-9318.44858327783,-12439.432781169391
Invitation Homes,-3413.3701443817213,-4460.594983229237,-6448.489805346723
IQVIA,-3499.594048465876,-4508.78762196766,-6382.274805992105
Iron Mountain,-4499.71175218514,-5801.435908513654,-8165.425365801655
J.B. Hunt,-3471.995888134585,-4600.215993913203,-6164.98981254264
Jabil,-5869.488506317564,-7366.415962203348,-10219.97157593733
Jack Henry & Associates,-2389.5408203564625,-3205.8074276872085,-4558.109319709798
Jacobs Solutions,-4118.620817384523,-5420.422345191655,-7730.941674207988
Johnson & Johnson,-1522.2153358949558,-2195.0668192964945,-3416.6987022752796
Johnson Controls,-4543.340993202586,-5895.364734909075,-7981.839198939643
JPMorgan Chase,-4165.1836139356055,-5443.656557041927,-7807.016169256358
Juniper Networks,-4767.5097549067095,-6071.873161571733,-8171.5971758466185
Kellanova,-2110.1466234615627,-2837.20802117561,-4258.090513145078
Kenvue,-1912.7645700405722,-2590.407983768406,-4042.8772619525207
Keurig Dr Pepper,-4848.369474898792,-6209.03747876653,-8739.938819496496
KeyCorp,-5721.35541598437,-7385.7028467977525,-9922.318575818728
Keysight,-4600.75943967918,-5960.296995614349,-8254.308089130944
Kimberly-Clark,-1828.9873629215922,-2549.0861963691586,-3773.1105932338455
Kimco Realty,-4818.034724575411,-6187.269344097246,-8444.083448462636
Kinder Morgan,-4398.684989916053,-5652.210734987383,-7986.405324320931
KKR,-6166.905341310054,-7833.34519451423,-10423.895156848092
KLA Corporation,-4900.323671005003,-6184.435479207475,-8459.290057007789
Kraft Heinz,-3982.144577928328,-5096.905728200885,-7115.299678675656
Kroger,-4191.938166065302,-5584.8830952643075,-7665.365920843365
